cont. total opacity [cm^-1]
   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15   4.36406E-15
   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15   4.53038E-15
   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15   4.70335E-15
   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15   4.89628E-15
   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15   5.26219E-15
   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15   5.76116E-15
   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15   6.10047E-15
   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15   6.53294E-15
   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15   7.11845E-15
   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15   7.91695E-15
