Height[km] Temp[K]   Vmic[cm/s]    Damp          Nl[cm-3]      Nu[cm-3]      Cul[s-1]      Qel[s-1]
  525.00    4400.0   6.28000E+04   5.64213E-03   9.59752E+05   1.03362E+03   1.87447E+05   3.18592E+07
  490.00    4410.0   5.55000E+04   6.03902E-03   1.63660E+06   2.00548E+03   2.54786E+05   4.44367E+07
  450.00    4460.0   5.01000E+04   6.55438E-03   2.95005E+06   4.15246E+03   3.59654E+05   6.44056E+07
  400.00    4560.0   4.77000E+04   7.37640E-03   5.93148E+06   1.00132E+04   5.51604E+05   1.01183E+08
  350.00    4660.0   5.01000E+04   8.54244E-03   1.16759E+07   2.33589E+04   8.42421E+05   1.57261E+08
  300.00    4770.0   6.27000E+04   1.00361E-02   2.18449E+07   5.19249E+04   1.26842E+06   2.41433E+08
  250.00    4880.0   8.67000E+04   1.18272E-02   3.96479E+07   1.11146E+05   1.90264E+06   3.67740E+08
  200.00    4990.0   1.17000E+05   1.39564E-02   6.85499E+07   2.25136E+05   2.83870E+06   5.51288E+08
  150.00    5150.0   1.48000E+05   1.66300E-02   1.05058E+08   4.27242E+05   4.28618E+06   8.10192E+08
  100.00    5410.0   1.75000E+05   2.00905E-02   1.34890E+08   7.52863E+05   6.84150E+06   1.15763E+09
   50.00    5790.0   1.97000E+05   2.43522E-02   1.55744E+08   1.31187E+06   1.32236E+07   1.59630E+09
    0.00    6520.0   2.00000E+05   3.01379E-02   1.68516E+08   2.73627E+06   4.96335E+07   2.10153E+09
  -20.00    6980.0   2.00000E+05   3.29686E-02   1.68633E+08   3.86165E+06   1.09984E+08   2.35524E+09
  -40.00    7590.0   2.00000E+05   3.78788E-02   1.60841E+08   5.45004E+06   2.78545E+08   2.79226E+09
  -60.00    8220.0   2.00000E+05   4.68567E-02   1.50492E+08   7.19146E+06   6.36825E+08   3.57320E+09
  -80.00    8860.0   2.00000E+05   6.30385E-02   1.36859E+08   8.82151E+06   1.30551E+09   4.97306E+09
 -100.00    9400.0   2.00000E+05   8.62106E-02   1.28148E+08   1.02978E+07   2.23512E+09   6.98408E+09
