B[G]      theta[rad]  chi[rad]
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
10.00 1.5708 0.000 
