B[G]      theta[rad]  chi[rad]
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
30.00 0.3926 0.7853
