cont. total opacity [cm^-1]
4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15 4.364060000000000156e-15
4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15 4.530380000000000066e-15
4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15 4.703350000000000193e-15
4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15 4.896279999999999957e-15
5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15 5.262189999999999626e-15
5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15 5.761159999999999922e-15
6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15 6.100470000000000302e-15
6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15 6.532940000000000011e-15
7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15 7.118450000000000329e-15
7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15 7.916949999999999400e-15
