Height[km] Temp[K]   Vmic[cm/s]    Damp          Nl[cm-3]      Nu[cm-3]      Cul[s-1]      Qel[s-1]
 2043.00    8700.0   6.92000E+05   1.02232E-03   1.17327E+00   6.49344E-04   2.59872E+04   5.12230E+04
 2017.00    8400.0   6.76000E+05   1.04609E-03   1.42863E+00   7.72233E-04   2.64309E+04   5.14209E+04
 1980.00    8050.0   6.55000E+05   1.07884E-03   1.84728E+00   9.66630E-04   2.69913E+04   5.18286E+04
 1915.00    7650.0   6.22000E+05   1.13388E-03   2.73826E+00   1.35871E-03   2.81628E+04   5.36357E+04
 1860.00    7450.0   5.97000E+05   1.17883E-03   3.70713E+00   1.76159E-03   2.93775E+04   5.61519E+04
 1775.00    7250.0   5.61000E+05   1.24943E-03   6.04690E+00   2.69477E-03   3.19879E+04   6.22013E+04
 1670.00    7050.0   5.21000E+05   1.33801E-03   1.21261E+01   4.99098E-03   3.64029E+04   7.34336E+04
 1580.00    6900.0   4.88000E+05   1.42061E-03   2.31593E+01   8.94961E-03   4.02899E+04   8.56832E+04
 1475.00    6720.0   4.52000E+05   1.52288E-03   5.43074E+01   1.94754E-02   4.51615E+04   1.05773E+05
 1378.00    6560.0   4.20000E+05   1.62643E-03   1.30626E+02   4.36127E-02   5.07185E+04   1.35284E+05
 1278.00    6390.0   3.86000E+05   1.75224E-03   3.43416E+02   1.06080E-01   5.69137E+04   1.85276E+05
 1180.00    6230.0   3.50000E+05   1.90667E-03   9.21852E+02   2.65595E-01   6.41327E+04   2.73402E+05
 1065.00    6040.0   3.03000E+05   2.15018E-03   2.93755E+03   8.00478E-01   7.26994E+04   4.77824E+05
  980.00    5900.0   2.64000E+05   2.39856E-03   6.77510E+03   1.87213E+00   7.86376E+04   7.77263E+05
  905.00    5755.0   2.30000E+05   2.66220E-03   1.38771E+04   4.22442E+00   8.27646E+04   1.25016E+06
  855.00    5650.0   2.06000E+05   2.88066E-03   2.19122E+04   7.46344E+00   8.40822E+04   1.75757E+06
  805.00    5490.0   1.82000E+05   3.13798E-03   3.10558E+04   1.20559E+01   7.41865E+04   2.51888E+06
  755.00    5280.0   1.57000E+05   3.45767E-03   4.56657E+04   2.05189E+01   6.58965E+04   3.74408E+06
  705.00    5030.0   1.33000E+05   3.83322E-03   6.84590E+04   3.59578E+01   5.95350E+04   5.72029E+06
  650.00    4750.0   1.07000E+05   4.33583E-03   1.30800E+05   8.31538E+01   6.71496E+04   9.47333E+06
  600.00    4550.0   8.65000E+04   4.83490E-03   2.83674E+05   2.21792E+02   9.61214E+04   1.53156E+07
  560.00    4430.0   7.25000E+04   5.26800E-03   5.46995E+05   5.09494E+02   1.37137E+05   2.27230E+07
  525.00    4400.0   6.28000E+04   5.64213E-03   9.44861E+05   1.01700E+03   1.87447E+05   3.18592E+07
  490.00    4410.0   5.55000E+04   6.03902E-03   1.61161E+06   1.97306E+03   2.54786E+05   4.44367E+07
  450.00    4460.0   5.01000E+04   6.55438E-03   2.90915E+06   4.08541E+03   3.59654E+05   6.44056E+07
  400.00    4560.0   4.77000E+04   7.37640E-03   5.85383E+06   9.86168E+03   5.51604E+05   1.01183E+08
  350.00    4660.0   5.01000E+04   8.54244E-03   1.15272E+07   2.30457E+04   8.42421E+05   1.57261E+08
  300.00    4770.0   6.27000E+04   1.00361E-02   2.15908E+07   5.13253E+04   1.26842E+06   2.41433E+08
  250.00    4880.0   8.67000E+04   1.18272E-02   3.92441E+07   1.10027E+05   1.90264E+06   3.67740E+08
  200.00    4990.0   1.17000E+05   1.39564E-02   6.79505E+07   2.23177E+05   2.83870E+06   5.51288E+08
  150.00    5150.0   1.48000E+05   1.66300E-02   1.04342E+08   4.24340E+05   4.28618E+06   8.10192E+08
  100.00    5410.0   1.75000E+05   2.00905E-02   1.34263E+08   7.49372E+05   6.84150E+06   1.15763E+09
   50.00    5790.0   1.97000E+05   2.43522E-02   1.55381E+08   1.30882E+06   1.32236E+07   1.59630E+09
    0.00    6520.0   2.00000E+05   3.01379E-02   1.68521E+08   2.73635E+06   4.96335E+07   2.10153E+09
  -20.00    6980.0   2.00000E+05   3.29686E-02   1.68665E+08   3.86240E+06   1.09984E+08   2.35524E+09
  -40.00    7590.0   2.00000E+05   3.78788E-02   1.60821E+08   5.44939E+06   2.78545E+08   2.79226E+09
  -60.00    8220.0   2.00000E+05   4.68567E-02   1.50459E+08   7.18990E+06   6.36825E+08   3.57320E+09
  -80.00    8860.0   2.00000E+05   6.30385E-02   1.36834E+08   8.81987E+06   1.30551E+09   4.97306E+09
 -100.00    9400.0   2.00000E+05   8.62106E-02   1.28140E+08   1.02971E+07   2.23512E+09   6.98408E+09
